Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Owner
raras no binder,binder,"Galadriel, Elven-Queen",LTC,Tales of Middle-earth Commander,3,normal,mythic,1,83288,8fa46d54-563d-4b5c-9c69-5ab37dd529b3,0.22,false,false,mint,en,EUR,InFeRMuS
raras no binder,binder,Primal Might,OTP,Breaking News,32,normal,rare,1,93357,d11a1ac4-b025-4bc7-a00f-5de04acefbf8,0.11,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Dust Animus,OTJ,Outlaws of Thunder Junction,9,normal,rare,1,93211,70719e7b-6f02-4c1a-9f11-79b2b0d9846a,0.24,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Railway Brawler,OTJ,Outlaws of Thunder Junction,175,normal,mythic,1,93285,9ec1f76f-f21d-4f06-8c02-be6745183348,5.74,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Aven Interrupter,OTJ,Outlaws of Thunder Junction,4,normal,rare,1,93360,d3ca43a4-d194-440f-8099-f1fa103a108d,1.99,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Double Down,OTJ,Outlaws of Thunder Junction,44,normal,mythic,1,93257,8ecccdf3-98c6-4aed-8757-913623efb677,1.9,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Outlaws' Merriment,OTP,Breaking News,51,normal,rare,1,93407,eb214fdf-edb1-49ab-8f98-dea62475f2fc,0.19,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Akul the Unrepentant,OTJ,Outlaws of Thunder Junction,189,normal,rare,1,93198,68fd8548-50db-4243-9154-377f32408d58,0.23,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,The Key to the Vault,OTJ,Outlaws of Thunder Junction,54,normal,rare,1,93058,166814af-a444-4a62-937e-7491673d9387,0.2,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Claim Jumper,POTJ,Outlaws of Thunder Junction Promos,8s,foil,rare,1,94146,f316b2af-b500-4a96-afa8-abcad4573d17,1.32,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Transmutation Font,BIG,The Big Score,28,normal,mythic,1,93907,e6cfe673-d688-499a-882b-4fe5418739e3,0.98,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,"Kellan, Daring Traveler // Journey On",LCI,The Lost Caverns of Ixalan,231,normal,rare,1,86307,01739030-c280-492b-a5c9-b3e9f6debc6d,0.2,false,false,near_mint,en,EUR,InFeRMuS
raras no binder,binder,Jadelight Spelunker,PLCI,The Lost Caverns of Ixalan Promos,196s,foil,rare,1,89271,4c7efdfd-868b-49cc-8265-3d99c5e155f9,0.02,false,false,near_mint,en,EUR,InFeRMuS
